"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:34:21.2699149","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,539, Length: 20, Fail Immediately: True"
"14:34:21.2699212","EXCEL.EXE","7364","UnlockFileSingle","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 2,147,483,539, Length: 20"
"14:34:21.2699264","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,559, Length: 20, Fail Immediately: True"
"14:34:21.2699318","EXCEL.EXE","7364","UnlockFileSingle","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 2,147,483,559, Length: 20"
"14:34:21.2699367","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,579, Length: 20, Fail Immediately: True"
"14:34:21.2699413","EXCEL.EXE","7364","UnlockFileSingle","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 2,147,483,579, Length: 20"
"14:34:21.2699474","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,599, Length: 20, Fail Immediately: True"
"14:34:21.2699524","EXCEL.EXE","7364","UnlockFileSingle","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 2,147,483,599, Length: 20"
"14:34:21.2699573","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,539, Length: 1, Fail Immediately: True"
"14:34:21.2699622","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,559, Length: 1, Fail Immediately: True"
"14:34:21.2699671","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,579, Length: 1, Fail Immediately: True"
"14:34:21.2699725","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,599, Length: 1, Fail Immediately: True"
